date,losses,player,wins
1995-11-08,119,Chen Yiming,120
1981-08-23,12,Sun Yuan,4
2005-07-06,5,Park Jihyun,3
1973-04-10,94,Nakamura Shinya,66
1989-09-08,89,Uchida Shuhei,58
1988-11-27,126,Okuda Aya,101
1957-11-15,169,Kim Soojang,150
-,2,Wan Enze,1
1987-02-16,131,Cao Youyin,113
1980-09-20,30,Iwamaru Taira,13
2000-08-31,98,Huang Shiyuan,98
2003-11-22,2,Yoda Ozora,3
1941-10-20,141,Ishii Kunio,81
2003-04-07,24,Oh Byeongwoo,15
2002-10-07,30,Chu Keer,20
1980-02-25,22,Lee Hyeonwuk,10
1951-01-01,559,Takemiya Masaki,661
2004-07-14,3,Kim Yeongkwang,3
2004-08-17,6,Yang Yoojun,2
1973-03-23,168,Kim Seungjun,127
1968-06-22,122,Zhang Xuan,128
-,1,Xiao Yuyang,2
-,62,Chen Shoulian,65
-,1,Hirano Kaito,2
1988-07-29,136,Lu Jia,123
2005-09-06,21,Li Xiaoxi (s),16
2006-11-22,54,Wu Yiming,32
-,5,Chen Yanru,5
1993-01-24,21,Otani Naoki,13
-,2,Qiu Yuran,2
1989-09-18,12,Hoshikawa Koyo,7
2000-07-29,16,Imabun Taro,10
1993-04-01,12,Chen Yang,4
1969-05-01,105,Yokota Shigeaki,78
1994-05-26,154,Hei Jiajia,144
1968-05-24,182,Aoki Kikuyo,199
-,3,Wang Yucheng,1
1992-04-19,47,Kim Hyelim,24
1992-10-01,5,Jeong Dooho,2
1970-10-18,104,Morita Michihiro,84
2003-05-15,13,Lee Euihyun,4
1979-08-06,76,Yamada Takuji,46
1999-03-02,2,Yang Wenkai,1
1976-11-09,17,Kurotaki Masaki,11
1978-11-21,32,Shimojima Yohei,19
1980-11-15,20,Yamamoto Kentaro,14
1990-04-08,70,Lee Youngjoo,48
1978-03-31,57,Furuya Yutaka,42
1993-03-20,2,Li Yuanqi,1
1991-01-20,17,Tanaka Nobuyuki,9
1974-12-10,50,Kim Yeongsam,23
2010-02-04,3,Chen Jiarui,2
1994-03-01,62,Li Xiaoxi (b),58
1998-01-19,49,Liu Huiling,34
1985-07-30,47,Kim Daeyoung,22
1995-02-10,6,Zheng Yuhang,2
1986-04-07,81,Zhang Zhehao,75
1997-10-16,54,Lu Yuhua,50
2005-01-15,4,Jo Bunen,4
1966-10-20,110,Goto Shungo,48
1994-04-07,84,Zhang Zihan,75
1991-03-24,106,Kim Miri,71
2007-06-04,6,Omote Yuto,4
1991-03-09,37,Tajiri Yuto,24
2000-06-21,32,Li Xinyi,20
2004-01-18,2,Zhang Xinyue,3
-,8,Cui Ning,10
-,2,Chen Yizhe,1
2001-05-27,11,Chotoku Tetsushi,6
1960-03-20,251,Liu Xiaoguang,272
1999-05-05,2,Wang Meicheng,2
1999-04-10,22,Kuwabara Shun,15
2006-07-28,4,Mito Shuhei,4
1983-11-04,183,Park Shiun,189
2006-03-22,3,Lee Suljoo,2
2003-06-04,8,Moon Jihwan,3
1972-12-07,92,Kurahashi Masayuki,75
1983-06-11,34,Ando Kazushige,27
-,4,Ma Jingyuan,1
1990-05-07,48,Ilya Shikshin,25
-,3,Ding Kewen,2
1966-03-22,106,Oya Koichi,70
1991-12-04,63,Chen Feng,58
2002-01-31,48,Yin Qu,39
1987-04-11,58,Fan Weijing,44
1989-11-07,94,Wang Xiangyun,74
1982-03-27,44,Kwon Hyojin,28
-,125,Yang Zixuan,126
1977-08-16,13,Araki Issei,5
-,11,Chang Fukang,4
1991-11-03,23,Inaba Takahiro,13
1972-11-19,58,Nakane Naoyuki,26
1993-05-11,7,Chen Naishen,3
2005-02-19,4,Takeshita Ryoya,3
2001-02-03,12,Aoki Hirotaka,9
1995-04-10,70,Lin Jiehan,59
1987-12-24,161,Mukai Chiaki,143
1942-05-12,574,Otake Hideo,687
1998-07-11,17,Kou Zhengyan,4
1982-07-07,66,Liu Yaowen,53
1975-02-22,36,Kubo Hideo,19
